Video_ID,Video_Name,Date,View_Count,Like_Count,Comment_Count,Tags
Wl-VvvNCk2A,jQuery: AJAX - Beau teaches JavaScript,2017-08-15T17:16:18Z,16637,263,2,"['jQuery - AJAX', 'ajax', 'jquery', 'load', 'get', 'post']"
Thnv77n2e6Q,jQuery: Dom Traversal (find parent and child nodes) - Beau teaches JavaScript,2017-08-08T17:35:46Z,21931,491,18,['jquery dom']
MmtfrjLLjJ0,jQuery: CSS and classes,2017-07-31T17:32:13Z,10172,156,6,"['jquery', 'tutorial', 'css', 'classes', 'how to', 'software', 'addclass', 'removeclass', 'toggleclass']"
0GKgrEJjJDE,jQuery: add and remove DOM elements - Beau teaches JavaScript,2017-07-27T18:08:11Z,14343,203,6,"['jquery', 'prepend', 'append', 'before', 'after', 'add', 'remove', 'tutorial', 'beginner', 'freecodecamp', 'learn to code']"
veL0_Rb97dE,"jQuery: get and set with http, text, val, and attr - Beau teaches JavaScript",2017-07-24T00:48:27Z,20931,308,10,"['jquery', 'http', 'text', 'attr', 'var', 'get', 'set', 'tutorial']"
ALhxxnTl5Co,animate in jQuery - Beau teaches JavaScript,2017-07-19T18:20:10Z,10616,224,10,"['jquery', 'animate', 'tutorial', 'learn to code', 'animate method', 'method', 'jquery animation', 'free']"
nwK0pJQZMPI,jQuery effects - Beau teaches JavaScript,2017-07-16T17:50:30Z,13115,272,6,"['jquery', 'effects', 'hide', 'show', 'fadein', 'fadeout', 'stop', 'animate', 'toggle', 'jquery tutorial']"
IR7Jbkuh824,jQuery events - Beau teaches JavaScript,2017-07-12T16:08:24Z,16881,303,5,"['jquery events', 'events', 'javascript', 'click', 'tutorial', 'learn jquery', 'how to use jquery', 'jquery tutorial']"
KhtEmR2A1Fw,Getting started with jQuery (tutorial) - Beau teaches JavaScript,2017-07-09T18:22:14Z,48003,665,28,"['jquery', 'jquery tutorial', 'getting started', 'javascript', 'how to use jquery', 'web development', 'freecodecamp', 'beau teaches javascript']"
zwBMp1U6FII,Dates - Beau teaches JavaScript,2017-06-09T19:56:57Z,29035,507,15,"['date', 'dates', 'new date', 'utc', 'time zone', 'tutorial', 'freecodecamp', 'javascirpt', 'software']"
wu0ckYkltus,Graphs: breadth-first search - Beau teaches JavaScript,2017-06-05T16:03:33Z,50541,568,32,"['breadth first search', 'depth first search', 'graph', 'data structure', 'graphs', 'javascirpt', 'tutorial', 'traverse', 'traversal', 'software engineering']"
cFTFtuEQ-10,"try, catch, finally, throw - error handling in JavaScript",2017-06-02T16:58:21Z,157059,3760,69,['iMovie']
kOcFZV3c75I,setInterval and setTimeout: timing events - Beau teaches JavaScript,2017-05-24T16:23:18Z,63792,1219,32,"['setinterval', 'settimeout', 'timing events', 'javascirpt', 'tutorial', 'counter', 'timing', 'coding', 'biginner', 'how to']"
